"School ID","School Name","Type","Authority","Gender","Regional Council","TA with Auckland Local Board","From","To","Number of changes"
264,"Prospect College","Secondary (Year 9-15)","Private: Fully Reg.","Co-Ed","Wellington Region","Lower Hutt City",2000,2001,1
265,"St Oran's College","Secondary (Year 7-15)","State: Integrated","Single Sex-Girls","Wellington Region","Lower Hutt City",2000,2017,1
266,"Waipa Christian School","Full Primary","State: Integrated","Co-Ed","Waikato Region","Waipa District",2000,2017,1
268,"Newlands College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Wellington Region","Wellington City",2000,2017,1
269,"Onslow College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Wellington Region","Wellington City",2000,2017,1
270,"Parkway College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Wellington Region","Lower Hutt City",2000,2001,1
271,"Wainuiomata College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Wellington Region","Lower Hutt City",2000,2001,1
272,"Wellington Girls' College","Secondary (Year 9-15)","State: Not integrated","Single Sex-Girls","Wellington Region","Wellington City",2000,2017,1
273,"Wellington High School and Com Ed Centre","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Wellington Region","Wellington City",2000,2017,1
274,"Wellington East Girls' College","Secondary (Year 9-15)","State: Not integrated","Single Sex-Girls","Wellington Region","Wellington City",2000,2017,1
275,"Wellington College","Secondary (Year 9-15)","State: Not integrated","Single Sex-Boys","Wellington Region","Wellington City",2000,2017,1
276,"St Patrick's College (Kilbirnie)","Secondary (Year 9-15)","State: Integrated","Single Sex-Boys","Wellington Region","Wellington City",2000,2017,1
277,"Rongotai College","Secondary (Year 9-15)","State: Not integrated","Single Sex-Boys","Wellington Region","Wellington City",2000,2017,1
278,"Queen Margaret College","Composite (Year 1-15)","Private: Fully Reg.","Single Sex-Girls","Wellington Region","Wellington City",2000,2017,1
279,"TKKM o Hoani Waititi","Composite (Year 1-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitakere Ranges",2000,2017,1
280,"Samuel Marsden Collegiate School","Composite (Year 1-15)","Private: Fully Reg.","Co-Ed","Wellington Region","Wellington City",2000,2000,3
280,"Samuel Marsden Collegiate School","Composite (Year 1-15)","Private: Fully Reg.","Prim.Co-Ed, Sec.Girls","Wellington Region","Wellington City",2001,2001,3
280,"Samuel Marsden Collegiate School","Composite (Year 1-15)","Private: Fully Reg.","Single Sex-Girls","Wellington Region","Wellington City",2002,2017,3
281,"Scots College","Composite (Year 1-15)","Private: Fully Reg.","Single Sex-Boys","Wellington Region","Wellington City",2000,2017,1
282,"Te Kura Amorangi o Whakawatea","Full Primary","State: Not integrated","Co-Ed","Waikato Region","Waipa District",2000,2017,1
283,"Otamatea Christian School","Composite (Year 1-15)","Private: Fully Reg.","Co-Ed","Northland Region","Kaipara District",2000,2017,1
284,"St Catherines College (Kilbirnie)","Secondary (Year 9-15)","State: Integrated","Single Sex-Girls","Wellington Region","Wellington City",2000,2017,1
286,"St Mary's College (Wellington)","Secondary (Year 9-15)","State: Integrated","Single Sex-Girls","Wellington Region","Wellington City",2000,2017,1
287,"Queen Charlotte College","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Marlborough Region","Marlborough District",2000,2017,1
288,"Marlborough Boys' College","Secondary (Year 9-15)","State: Not integrated","Single Sex-Boys","Marlborough Region","Marlborough District",2000,2017,1
289,"Marlborough Girls' College","Secondary (Year 9-15)","State: Not integrated","Single Sex-Girls","Marlborough Region","Marlborough District",2000,2017,1
290,"Collingwood Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Tasman Region","Tasman District",2000,2017,1
291,"Rai Valley Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Marlborough Region","Marlborough District",2000,2017,1
292,"Golden Bay High School","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Tasman Region","Tasman District",2000,2017,1
293,"Nayland College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Nelson Region","Nelson City",2000,2017,1
294,"Nelson College","Secondary (Year 9-15)","State: Not integrated","Single Sex-Boys","Nelson Region","Nelson City",2000,2017,1
295,"Nelson College For Girls","Secondary (Year 9-15)","State: Not integrated","Single Sex-Girls","Nelson Region","Nelson City",2000,2017,1
296,"Waimea College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Tasman Region","Tasman District",2000,2017,1
297,"Tapawera Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Tasman Region","Tasman District",2000,2017,1
298,"Motueka High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Tasman Region","Tasman District",2000,2017,1
299,"Murchison Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Tasman Region","Tasman District",2000,2017,1
300,"Karamea Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","West Coast Region","Buller District",2000,2017,1
301,"Buller High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","West Coast Region","Buller District",2000,2017,1
302,"Inangahua College","Secondary (Year 7-15)","State: Not integrated","Co-Ed","West Coast Region","Buller District",2000,2003,1
303,"Greymouth High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","West Coast Region","Grey District",2000,2017,1
