"School ID","School Name","Type","Authority","Gender","Regional Council","TA with Auckland Local Board","From","To","Number of changes"
1124,"Waiotira School","Contributing","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
1125,"Waipu School","Contributing","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
1126,"Wellsford School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1127,"Whananaki School","Full Primary","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
1128,"Whangarei Heads School","Full Primary","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
1129,"Whangarei Intermediate","Intermediate","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
1130,"Whangarei School","Contributing","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
1131,"Whau Valley School","Contributing","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
1132,"Living Way Christian School","Composite (Year 1-15)","Private: Fully Reg.","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1135,"Wickham Private School","Full Primary","Private: Fully Reg.","Co-Ed","Bay of Plenty Region","Tauranga City",2000,2007,1
1136,"New Life Christian School","Full Primary","State: Integrated","Co-Ed","Gisborne Region","Gisborne District",2000,2015,1
1138,"Christian Renewal School","Composite (Year 1-15)","State: Integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
1139,"Lake Taupo Christian School","Composite (Year 1-15)","State: Integrated","Co-Ed","Waikato Region","Taupo District",2000,2017,1
1141,"TKKM o Rangiawhia","Full Primary","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2016,1
1142,"TKKM o Takapau","Full Primary","State: Not integrated","Co-Ed","Hawkes Bay Region","Central Hawke's Bay District",2000,2017,1
1143,"TKKM o Nga Mokopuna","Composite (Year 1-15)","State: Not integrated","Co-Ed","Wellington Region","Wellington City",2005,2017,2
1143,"TKKM o Nga Mokopuna","Full Primary","State: Not integrated","Co-Ed","Wellington Region","Wellington City",2000,2004,2
1147,"Te Rangi Aniwaniwa","Composite (Year 1-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
1148,"Nelson Christian Academy","Full Primary","State: Integrated","Co-Ed","Nelson Region","Nelson City",2000,2017,1
1149,"Sonrise Christian School","Composite (Year 1-15)","State: Integrated","Co-Ed","Gisborne Region","Gisborne District",2009,2017,2
1149,"Sonrise Christian School","Full Primary","State: Integrated","Co-Ed","Gisborne Region","Gisborne District",2000,2008,2
1150,"Fountain Christian School","Full Primary","Private: Fully Reg.","Co-Ed","Manawatu-Wanganui Region","Horowhenua District",2000,2004,1
1151,"TKKM o Te Puaha o Waikato","Full Primary","State: Not integrated","Co-Ed","Waikato Region","Waikato District",2000,2017,1
1153,"TKKM o Te Koutu","Composite (Year 1-15)","State: Not integrated","Co-Ed","Bay of Plenty Region","Rotorua District",2000,2017,1
1154,"TKKM o Te Rawhiti Roa","Composite (Year 1-15)","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2003,2017,2
1154,"TKKM o Te Rawhiti Roa","Full Primary","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2002,2
1156,"Horizon School","Full Primary","State: Integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1164,"Everglade School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1165,"TKKM o Ruamata","Composite (Year 1-15)","State: Not integrated","Co-Ed","Bay of Plenty Region","Rotorua District",2000,2017,1
1167,"Wanaka Primary School","Contributing","State: Not integrated","Co-Ed","Otago Region","Queenstown-Lakes District",2000,2017,2
1167,"Wanaka Primary School","Full Primary","State: Not integrated","Co-Ed","Otago Region","Queenstown-Lakes District",2011,2014,2
1168,"Emmanuel Christian School","Composite (Year 1-15)","State: Integrated","Co-Ed","Canterbury Region","Christchurch City",2014,2017,2
1168,"Emmanuel Christian School","Full Primary","State: Integrated","Co-Ed","Canterbury Region","Christchurch City",2000,2013,2
1169,"Paeroa Christian School","Full Primary","State: Integrated","Co-Ed","Waikato Region","Hauraki District",2000,2017,1
1170,"Whakatane S D A School","Full Primary","State: Integrated","Co-Ed","Bay of Plenty Region","Whakatane District",2000,2017,1
1172,"Cornerstone Christian School","Composite (Year 1-15)","State: Integrated","Co-Ed","Manawatu-Wanganui Region","Palmerston North City",2014,2017,2
1172,"Cornerstone Christian School","Full Primary","State: Integrated","Co-Ed","Manawatu-Wanganui Region","Palmerston North City",2000,2013,2
1174,"Moriah College","Full Primary","State: Integrated","Co-Ed","Wellington Region","Wellington City",2000,2012,1
1175,"Kaikohe Christian School","Composite (Year 1-15)","State: Integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
1176,"Mountain Valley School","Full Primary","Private: Fully Reg.","Co-Ed","Tasman Region","Tasman District",2000,2007,1
1177,"Te Huruhi School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waiheke",2000,2017,1
1178,"Tasman Bay Christian School","Full Primary","State: Integrated","Co-Ed","Tasman Region","Tasman District",2000,2017,1
1179,"Maranatha Christian School","Full Primary","State: Integrated","Co-Ed","Wellington Region","Lower Hutt City",2000,2017,1
1184,"Hawera Christian School","Full Primary","State: Integrated","Co-Ed","Taranaki Region","South Taranaki District",2000,2017,1
1185,"Matahui School","Full Primary","Private: Fully Reg.","Co-Ed","Bay of Plenty Region","Western Bay of Plenty District",2000,2017,1
1186,"Matamata Christian School","Full Primary","State: Integrated","Co-Ed","Waikato Region","Matamata-Piako District",2000,2017,1
1187,"Tauranga Waldorf School","Full Primary","Private: Fully Reg.","Co-Ed","Bay of Plenty Region","Tauranga City",2000,2004,2
1187,"Tauranga Waldorf School","Full Primary","State: Integrated","Co-Ed","Bay of Plenty Region","Tauranga City",2005,2017,2
1189,"Wa Ora Montessori School","Composite (Year 1-15)","State: Integrated","Co-Ed","Wellington Region","Lower Hutt City",2009,2017,2
1189,"Wa Ora Montessori School","Full Primary","State: Integrated","Co-Ed","Wellington Region","Lower Hutt City",2000,2008,2
1190,"Elim Christian College","Composite (Year 1-15)","State: Integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
1192,"Dunedin Rudolf Steiner School","Full Primary","State: Integrated","Co-Ed","Otago Region","Dunedin City",2000,2017,1
1194,"Red Beach School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Hibiscus and Bays",2000,2017,1
1195,"Adventure School","Full Primary","State: Not integrated","Co-Ed","Wellington Region","Porirua City",2000,2017,1
1197,"Calvin Christian School","Full Primary","Private: Fully Reg.","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2007,1
1200,"Ahuroa School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1201,"Aka Aka School","Full Primary","State: Not integrated","Co-Ed","Waikato Region","Waikato District",2000,2017,1
1202,"Albany School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Upper Harbour",2000,2017,1
1203,"Alfriston School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1204,"Anchorage Park School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
1206,"Arahoe School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1207,"Ararimu School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1208,"Ardmore School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1209,"Arohanui Special School","Special School","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1210,"Northern Health School","Special School","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitemata",2000,2017,1
1211,"Auckland Normal Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
1212,"Avondale Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1213,"Avondale Primary School (Auckland)","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1214,"Awhitu District School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1215,"Sir Douglas Bader Intermediate School","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
1216,"Bailey Road School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2000,2017,1
1217,"Sir Edmund Hillary Collegiate Middle School","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
1218,"Bairds Mainfreight Primary School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
1219,"Balmoral School (Auckland)","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
1220,"Bayfield School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitemata",2000,2017,1
1221,"Bayswater School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
1222,"Bayview School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1223,"Beach Haven School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1224,"Beachlands School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1225,"Belmont Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
1226,"Belmont School (Auckland)","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
1227,"Birdwood School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1228,"Birkdale Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1229,"Birkdale North School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1230,"Birkdale Primary School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1231,"Birkenhead School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1232,"Blockhouse Bay Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1233,"Blockhouse Bay School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1234,"Bombay School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1235,"Botany Downs School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
1236,"Brookby School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1237,"Browns Bay School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Hibiscus and Bays",2000,2017,1
1238,"Bruce McLaren Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1239,"Buckland School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1240,"Bucklands Beach Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
1241,"Bucklands Beach Primary School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
1242,"Campbells Bay School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
1243,"Chaucer School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1244,"Chelsea School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1245,"Christ the King Catholic School (Owairaka)","Full Primary","State: Integrated","Co-Ed","Auckland Region","Auckland- Puketapapa",2000,2017,1
1246,"Churchill Park School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Orakei",2000,2017,1
1247,"Clayton Park School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2005,2
1247,"Clayton Park School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2006,2017,2
1248,"Clendon Park School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1249,"Clevedon School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1250,"Clover Park Middle School","Restricted Composite (Year 7-10)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2010,1
1251,"Sir Edmund Hillary Collegiate Junior School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
1252,"Coatesville School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1253,"Cockle Bay School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
1254,"Colwill School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1255,"Conifer Grove School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Papakura",2000,2017,1
1256,"Cornwall Park District School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
1257,"Cosgrove School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Papakura",2000,2017,1
1258,"Dairy Flat School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2017,2017,2
1258,"Dairy Flat School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2016,2
1259,"Dawson School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
1260,"Devonport Primary School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
1261,"Dominion Road School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Puketapapa",2000,2017,1
1262,"Don Buck School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1263,"Drury School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Papakura",2000,2017,1
1264,"East Tamaki School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
1265,"Edendale School (Auckland)","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
1266,"Edmonton School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1267,"Edmund Hillary School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Papakura",2000,2017,1
1268,"Ellerslie School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2000,2017,1
1269,"Elm Park School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
1270,"Epsom Normal School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
1271,"Fairburn School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
1272,"Farm Cove Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
1273,"Favona School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
1274,"Ferguson Intermediate (Otara)","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
1275,"Finlayson Park School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1276,"Flanshaw Road School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1277,"Flat Bush School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
1278,"Forrest Hill School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
1279,"Freemans Bay School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitemata",2000,2017,1
1280,"Freyberg Community School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1281,"Fruitvale Road School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1282,"Gladstone School (Auckland)","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
1283,"Glamorgan School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Hibiscus and Bays",2000,2017,1
1284,"Glen Eden Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitakere Ranges",2000,2017,1
1285,"Glen Eden School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitakere Ranges",2000,2017,1
1286,"Glen Innes Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2000,2003,1
1287,"Glen Innes School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2000,2011,2
1287,"Glen Innes School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2012,2017,2
1288,"Glen Murray School","Full Primary","State: Not integrated","Co-Ed","Waikato Region","Waikato District",2000,2001,1
1289,"Glen Taylor School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Orakei",2000,2017,1
1290,"Glenavon School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1291,"Glenbrae Primary School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2000,2011,2
1291,"Glenbrae Primary School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2012,2017,2
1292,"Glenbrook School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1293,"Glendene School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1294,"Glendowie School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Orakei",2000,2017,1
1295,"Glenfield Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1296,"Glenfield Primary School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1297,"Good Shepherd School (Balmoral)","Contributing","State: Integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
1298,"Green Bay Primary School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1299,"Greenhithe School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Upper Harbour",2000,2017,1
1300,"Greenmeadows Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1301,"Grey Lynn School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitemata",2000,2017,1
1302,"Halsey Drive School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Puketapapa",2000,2017,1
1303,"Harrisville School","Contributing","State: Not integrated","Co-Ed","Waikato Region","Waikato District",2000,2017,1
1304,"Hauraki School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
1305,"Hay Park School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Puketapapa",2000,2017,1
1306,"Helensville School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1307,"Henderson Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1308,"Henderson North School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1309,"Henderson School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1310,"Henderson South School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1311,"Henderson Valley School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitakere Ranges",2000,2017,1
1312,"Hillpark School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1313,"Hillsborough School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Puketapapa",2000,2017,1
1314,"Hobsonville School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Upper Harbour",2000,2017,1
1315,"Holy Cross School (Papatoetoe)","Full Primary","State: Integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
1316,"Holy Cross Catholic School (Henderson)","Full Primary","State: Integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1317,"Homai School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1318,"Howick Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
1319,"Howick Primary School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
1320,"Huapai District School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1321,"Hunua School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1322,"Jean Batten School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
1323,"Kaiaua School","Full Primary","State: Not integrated","Co-Ed","Waikato Region","Hauraki District",2000,2017,1
1324,"Kaipara Flats School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1325,"Karaka School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1326,"Kaukapakapa School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1327,"Kauri Park School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1328,"Kaurilands School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitakere Ranges",2000,2017,1
1329,"Kedgley Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
1330,"Kelston Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1331,"Kelston School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
1332,"Kelvin Road School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Papakura",2000,2017,1
1333,"Kingsford School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
1334,"Kohimarama School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Orakei",2000,2017,1
1335,"Konini School (Auckland)","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitakere Ranges",2000,2017,1
1336,"Koru School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
1337,"Kowhai Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
1338,"Laingholm School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Waitakere Ranges",2000,2017,1
1339,"Leabank School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1340,"Leigh School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1341,"Lincoln Heights School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1342,"Long Bay School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Hibiscus and Bays",2000,2017,1
1343,"Mairangi Bay School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Hibiscus and Bays",2000,2017,1
1344,"Mangatangi School","Full Primary","State: Not integrated","Co-Ed","Waikato Region","Waikato District",2000,2017,1
1345,"Mangatawhiri School","Full Primary","State: Not integrated","Co-Ed","Waikato Region","Waikato District",2000,2017,1
1346,"Mangere Bridge School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
1347,"Mangere Central School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
1348,"Mangere East School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2014,2
1348,"Mangere East School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2015,2017,2
1350,"Manuka Primary School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1351,"Royal Oak Intermediate School","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2000,2017,1
1352,"Manurewa East School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1353,"Manurewa Intermediate","Intermediate","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1354,"Manurewa Central School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1355,"Manurewa South School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1356,"Manurewa West School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
1357,"Maraetai Beach School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1358,"Maramarua School","Full Primary","State: Not integrated","Co-Ed","Waikato Region","Waikato District",2000,2017,1
1359,"Marist School (Mt Albert)","Contributing","State: Integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
1360,"Marist Catholic School (Herne Bay)","Contributing","State: Integrated","Co-Ed","Auckland Region","Auckland- Waitemata",2012,2017,2
1360,"Marist Catholic School (Herne Bay)","Full Primary","State: Integrated","Co-Ed","Auckland Region","Auckland- Waitemata",2000,2011,2
1361,"Marlborough School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
1362,"Marshall Laing School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Puketapapa",2000,2017,1
1363,"Massey Primary School","Full Primary","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1364,"Matakana School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
1365,"Matipo Road School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Henderson-Massey",2000,2017,1
1366,"Mauku School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
1367,"Maungawhau School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
1368,"May Road School","Contributing","State: Not integrated","Co-Ed","Auckland Region","Auckland- Puketapapa",2000,2017,1
